Compound,Date,Media,Negative,Neutral,Positive,Tweet Count,Tweet Text
0.128,Wed Feb 14 20:03:04 +0000 2018,@BBC,0.118,0.742,0.14,1,"💡 What does it take for kids from disadvantaged backgrounds to succeed? 

Take a unique look at social mobility thr… https://t.co/MrfHIqBwof"
0.4767,Wed Feb 14 19:07:49 +0000 2018,@BBC,0.0,0.866,0.134,2,"RT @BBCWales: Heartwarming. ❤️

Cyril Jenkins, 93, talks about the primary school pupils in #Torfaen who regularly visit him in hospital.…"
-0.2886,Wed Feb 14 19:07:35 +0000 2018,@BBC,0.171,0.709,0.12,3,"RT @bbcrb: Isn't this a great idea? 💡💡
Nina uses yoga to help wheelchair users stay supple 🙌👍♿ https://t.co/PdiUa8rgE3"
0.0,Wed Feb 14 19:06:34 +0000 2018,@BBC,0.0,1.0,0.0,4,"RT @bbccomedy: 5 Reasons why Valentine's should be for BFFs! 👯👯‍♂️ 

@bbcwritersroom @r_jacz @KathrynBond https://t.co/ZRoOpJGxiN"
0.3612,Wed Feb 14 19:00:07 +0000 2018,@BBC,0.0,0.815,0.185,5,Chinese characters are based on symbols denoting meanings – a bit like emojis. 😀https://t.co/t0LoqNG7iJ
0.0,Wed Feb 14 17:57:02 +0000 2018,@BBC,0.0,1.0,0.0,6,"What does it takes to survive in the most extreme places on earth?
 
#EarthsNaturalWonders | 9pm | @BBCOne https://t.co/Zjoo568V56"
0.0,Wed Feb 14 17:28:27 +0000 2018,@BBC,0.0,1.0,0.0,7,RT @bbcthesocial: | @LaurenAviah &amp; @RickyCrompton are going on a date LIVE tonight at 8pm. You can watch it on our Facebook page: https://t…
0.0,Wed Feb 14 17:01:02 +0000 2018,@BBC,0.0,1.0,0.0,8,"❤️️🦌 A handy guide to dating, if you're a deer... 
#ValentinesDay https://t.co/qs7crtpLy6"
0.0,Wed Feb 14 16:57:13 +0000 2018,@BBC,0.0,1.0,0.0,9,"RT @BBCSport: What a way to spend Valentine's Day!

#Pyeongchang2018 #bbcolympics https://t.co/baMLnCviA4"
0.0,Wed Feb 14 16:53:35 +0000 2018,@BBC,0.0,1.0,0.0,10,RT @bbc5live: Xanax turned my daughter into an ‘aggressive zombie’ https://t.co/836VCGz50D
0.0,Wed Feb 14 16:53:10 +0000 2018,@BBC,0.0,1.0,0.0,11,RT @bbcthree: Working in a restaurant on V Day? These are the types of people you'll see. https://t.co/mRKe1PCcC0
0.0,Wed Feb 14 16:40:01 +0000 2018,@BBC,0.0,1.0,0.0,12,"RT @BBCSport: This was INCREDIBLE.

#Pyeongchang2018 #bbcolympics https://t.co/oQFPv08RrK"
-0.7419,Wed Feb 14 15:16:41 +0000 2018,@BBC,0.294,0.583,0.123,13,"RT @BBCRadio4: 📞Date night?! We want to hear your dating calamities. We'd like to hear about your worst, weirdest and most difficult dates…"
0.8999,Wed Feb 14 14:42:08 +0000 2018,@BBC,0.0,0.5,0.5,14,"RT @bbccomedy: Celebrate this #ValentinesDay with your one true love. Food! 😍

@bbcwritersroom @KathrynBond https://t.co/yx22bRwHnE"
0.0,Wed Feb 14 14:32:02 +0000 2018,@BBC,0.0,1.0,0.0,15,🧀🤤 Easy-peasy cheesy sauce! https://t.co/xG02lSgbdP
0.7717,Wed Feb 14 13:57:42 +0000 2018,@BBC,0.0,0.729,0.271,16,"RT @bbccomedy: Roses are great
But poems are stunning
Click pause on the screen 
For some Valentine's punning. 😃💋 https://t.co/SoGqSTGauI"
0.6369,Wed Feb 14 13:42:18 +0000 2018,@BBC,0.0,0.792,0.208,17,"RT @BBCiPlayer: Despite a rough start to life, Mukeni has found love in his own form.
#ValentinesDay https://t.co/YkDaXbIom4"
0.0,Wed Feb 14 13:33:04 +0000 2018,@BBC,0.0,1.0,0.0,18,"A closer look at animal relationships reveals infidelity, illegitimate offspring and even infanticide...

😯 and hum… https://t.co/IeGaywrYDK"
0.803,Wed Feb 14 13:03:03 +0000 2018,@BBC,0.0,0.772,0.228,19,"☝️📱💘 More couples than ever before are meeting online, but are data crunching apps really the best way to find a pa… https://t.co/GdQujaOmq4"
0.0,Wed Feb 14 12:48:47 +0000 2018,@BBC,0.0,1.0,0.0,20,RT @bbcpress: 🌍 @BBC announces three-step plan to remove single-use plastic from our operations by 2020: https://t.co/xvX1m3dUES https://t.…
0.128,Wed Feb 14 20:03:04 +0000 2018,@BBC,0.118,0.742,0.14,21,"💡 What does it take for kids from disadvantaged backgrounds to succeed? 

Take a unique look at social mobility thr… https://t.co/MrfHIqBwof"
0.4767,Wed Feb 14 19:07:49 +0000 2018,@BBC,0.0,0.866,0.134,22,"RT @BBCWales: Heartwarming. ❤️

Cyril Jenkins, 93, talks about the primary school pupils in #Torfaen who regularly visit him in hospital.…"
-0.2886,Wed Feb 14 19:07:35 +0000 2018,@BBC,0.171,0.709,0.12,23,"RT @bbcrb: Isn't this a great idea? 💡💡
Nina uses yoga to help wheelchair users stay supple 🙌👍♿ https://t.co/PdiUa8rgE3"
0.0,Wed Feb 14 19:06:34 +0000 2018,@BBC,0.0,1.0,0.0,24,"RT @bbccomedy: 5 Reasons why Valentine's should be for BFFs! 👯👯‍♂️ 

@bbcwritersroom @r_jacz @KathrynBond https://t.co/ZRoOpJGxiN"
0.3612,Wed Feb 14 19:00:07 +0000 2018,@BBC,0.0,0.815,0.185,25,Chinese characters are based on symbols denoting meanings – a bit like emojis. 😀https://t.co/t0LoqNG7iJ
0.0,Wed Feb 14 17:57:02 +0000 2018,@BBC,0.0,1.0,0.0,26,"What does it takes to survive in the most extreme places on earth?
 
#EarthsNaturalWonders | 9pm | @BBCOne https://t.co/Zjoo568V56"
0.0,Wed Feb 14 17:28:27 +0000 2018,@BBC,0.0,1.0,0.0,27,RT @bbcthesocial: | @LaurenAviah &amp; @RickyCrompton are going on a date LIVE tonight at 8pm. You can watch it on our Facebook page: https://t…
0.0,Wed Feb 14 17:01:02 +0000 2018,@BBC,0.0,1.0,0.0,28,"❤️️🦌 A handy guide to dating, if you're a deer... 
#ValentinesDay https://t.co/qs7crtpLy6"
0.0,Wed Feb 14 16:57:13 +0000 2018,@BBC,0.0,1.0,0.0,29,"RT @BBCSport: What a way to spend Valentine's Day!

#Pyeongchang2018 #bbcolympics https://t.co/baMLnCviA4"
0.0,Wed Feb 14 16:53:35 +0000 2018,@BBC,0.0,1.0,0.0,30,RT @bbc5live: Xanax turned my daughter into an ‘aggressive zombie’ https://t.co/836VCGz50D
0.0,Wed Feb 14 16:53:10 +0000 2018,@BBC,0.0,1.0,0.0,31,RT @bbcthree: Working in a restaurant on V Day? These are the types of people you'll see. https://t.co/mRKe1PCcC0
0.0,Wed Feb 14 16:40:01 +0000 2018,@BBC,0.0,1.0,0.0,32,"RT @BBCSport: This was INCREDIBLE.

#Pyeongchang2018 #bbcolympics https://t.co/oQFPv08RrK"
-0.7419,Wed Feb 14 15:16:41 +0000 2018,@BBC,0.294,0.583,0.123,33,"RT @BBCRadio4: 📞Date night?! We want to hear your dating calamities. We'd like to hear about your worst, weirdest and most difficult dates…"
0.8999,Wed Feb 14 14:42:08 +0000 2018,@BBC,0.0,0.5,0.5,34,"RT @bbccomedy: Celebrate this #ValentinesDay with your one true love. Food! 😍

@bbcwritersroom @KathrynBond https://t.co/yx22bRwHnE"
0.0,Wed Feb 14 14:32:02 +0000 2018,@BBC,0.0,1.0,0.0,35,🧀🤤 Easy-peasy cheesy sauce! https://t.co/xG02lSgbdP
0.7717,Wed Feb 14 13:57:42 +0000 2018,@BBC,0.0,0.729,0.271,36,"RT @bbccomedy: Roses are great
But poems are stunning
Click pause on the screen 
For some Valentine's punning. 😃💋 https://t.co/SoGqSTGauI"
0.6369,Wed Feb 14 13:42:18 +0000 2018,@BBC,0.0,0.792,0.208,37,"RT @BBCiPlayer: Despite a rough start to life, Mukeni has found love in his own form.
#ValentinesDay https://t.co/YkDaXbIom4"
0.0,Wed Feb 14 13:33:04 +0000 2018,@BBC,0.0,1.0,0.0,38,"A closer look at animal relationships reveals infidelity, illegitimate offspring and even infanticide...

😯 and hum… https://t.co/IeGaywrYDK"
0.803,Wed Feb 14 13:03:03 +0000 2018,@BBC,0.0,0.772,0.228,39,"☝️📱💘 More couples than ever before are meeting online, but are data crunching apps really the best way to find a pa… https://t.co/GdQujaOmq4"
0.0,Wed Feb 14 12:48:47 +0000 2018,@BBC,0.0,1.0,0.0,40,RT @bbcpress: 🌍 @BBC announces three-step plan to remove single-use plastic from our operations by 2020: https://t.co/xvX1m3dUES https://t.…
